country,title_count
United States,2883
India,956
United Kingdom,577
Unknown,507
Canada,259
Japan,237
France,196
South Korea,194
Spain,168
Mexico,123
Australia,108
Turkey,106
Egypt,105
Germany,92
China,86
Taiwan,82
Brazil,79
Hong Kong,77
Indonesia,76
Philippines,75
Nigeria,71
Argentina,68
Thailand,61
Italy,59
Colombia,36
South Africa,35
Denmark,30
Singapore,28
Ireland,26
Poland,26
Netherlands,25
Malaysia,23
Pakistan,22
Chile,21
Norway,20
Lebanon,20
Russia,20
United Arab Emirates,19
Israel,19
Sweden,16
New Zealand,15
Belgium,14
Saudi Arabia,10
Romania,10
Uruguay,9
Austria,8
Switzerland,7
Kuwait,6
Peru,6
Finland,6
Czech Republic,5
Vietnam,5
Bulgaria,5
Iceland,5
Hungary,4
Ghana,4
Kenya,3
Serbia,3
Croatia,2
Ukraine,2
Bangladesh,2
Portugal,2
Venezuela,2
Georgia,2
Cambodia,2
Iran,1
Soviet Union,1
Mauritius,1
Namibia,1
Zimbabwe,1
West Germany,1
Puerto Rico,1
Jordan,1
Slovenia,1
Guatemala,1
Senegal,1
Belarus,1
Jamaica,1
Cyprus,1
Greece,1
Paraguay,1
Somalia,1
